trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-123.0340364035039,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,21,2.3112590441155785,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",25,0,-132.5469119529151,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-131.19052583908203,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,2,-104.7464031349247,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",30,15,-92.18583353072346,"{0: 10, 1: 0, 2: 1, 3: 3, 4: 1}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-194.87527401490885,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-101.6336661491559,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-59.16740350118203,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-72.71203353147469,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-42.47002133470661,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-95.74288488003664,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-83.71865734287903,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,5,-43.60183089752668,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-165.98021366110237,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-179.45008279028417,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-134.71947807377612,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,0,-156.9745642849908,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-20.80659461232183,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-231.90057169843945,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 5}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,4,-88.59607763620163,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-20.340742028070185,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-71.49930166429675,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,11,-7.430572330859592,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-148.917075542255,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-99.10840173235069,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-125.23092813965262,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-4.6322912159192535,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-60.65361711005629,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
